Company Name,Location,Email,Products
TechWave,"San Francisco, CA",tigerkahukum420@gmail.com,"Cloud Storage, AI Solutions"
InnovaSoft,"Austin, TX",srivatsan0611@gmail.com,Business Software
EcoGreen Solutions,"Portland, OR",sevelarshreya@gmail.com,Eco-friendly Packaging
MediCore,"Chicago, IL",hello@medicore.com,Healthcare Software
BrightPath,"New York, NY",team@brightpath.com,Career Development Tools
UrbanTech,"Seattle, WA",sales@urbantech.com,Urban Planning Tools
SkyHigh Solutions,"Denver, CO",service@skyhigh.com,Drone Services
AgriPro,"Phoenix, AZ",connect@agripro.com,Agricultural Technology
SecureNet,"Boston, MA",info@securenet.com,Cybersecurity Solutions
EduFutures,"Miami, FL",learn@edufutures.com,E-learning Platform
